,ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,shift_close,numerator,abs_change,denominator,er
0,PL.DCE,20230511,7580.0,7580.0,7580.0,7580.0,7580.0,7580.0,7580.0,0.0,0.0,31.0,234.98,3004.0,,,,,,
1,PL.DCE,20230510,7598.0,7580.0,,,,7580.0,7580.0,0.0,0.0,130.0,987.74,3035.0,,,,0.0,,
2,PL.DCE,20230509,7610.0,7550.0,7612.0,7632.0,7500.0,7598.0,7580.0,48.0,30.0,506.0,3836.1,3165.0,,,,18.0,,
3,PL.DCE,20230508,7396.0,7302.0,7330.0,7636.0,7330.0,7610.0,7550.0,308.0,248.0,968.0,7308.65,3240.0,,,,12.0,,
4,PL.DCE,20230505,7350.0,7272.0,7272.0,7396.0,7272.0,7396.0,7302.0,124.0,30.0,566.0,4133.56,3542.0,,,,214.0,,
5,PL.DCE,20230504,7270.0,7250.0,7250.0,7350.0,7130.0,7350.0,7272.0,100.0,22.0,491.0,3571.16,4062.0,,,,46.0,,
6,PL.DCE,20230428,7334.0,7406.0,7324.0,7324.0,7190.0,7270.0,7250.0,-136.0,-156.0,11269.0,81716.94,4442.0,,,,80.0,,
7,PL.DCE,20230427,7442.0,7466.0,7394.0,7498.0,7312.0,7334.0,7406.0,-132.0,-60.0,14629.0,108363.25,10007.0,,,,64.0,,
8,PL.DCE,20230426,7502.0,7474.0,7482.0,7514.0,7398.0,7442.0,7466.0,-32.0,-8.0,29029.0,216750.21,17360.0,,,,108.0,,
9,PL.DCE,20230425,7458.0,7568.0,7396.0,7548.0,7396.0,7502.0,7474.0,-66.0,-94.0,34765.0,259884.66,25127.0,,,,60.0,,
10,PL.DCE,20230424,7698.0,7748.0,7750.0,7750.0,7432.0,7458.0,7568.0,-290.0,-180.0,80555.0,609663.76,35361.0,,7580.0,122.0,44.0,646.0,0.18885448916408668
11,PL.DCE,20230421,7790.0,7820.0,7796.0,7814.0,7674.0,7698.0,7748.0,-122.0,-72.0,82714.0,640993.29,60568.0,,7580.0,118.0,240.0,886.0,0.13318284424379231
12,PL.DCE,20230420,7856.0,7872.0,7826.0,7892.0,7752.0,7790.0,7820.0,-82.0,-52.0,87397.0,683601.4,87067.0,,7598.0,192.0,92.0,960.0,0.2
13,PL.DCE,20230419,7856.0,7752.0,7886.0,7920.0,7820.0,7856.0,7872.0,104.0,120.0,109558.0,862564.3,102494.0,,7610.0,246.0,66.0,1014.0,0.24260355029585798
14,PL.DCE,20230418,7810.0,7646.0,7696.0,7856.0,7660.0,7856.0,7752.0,210.0,106.0,193207.0,1498051.19,117490.0,,7396.0,460.0,0.0,800.0,0.575
15,PL.DCE,20230417,7832.0,7832.0,,,,7810.0,7810.0,-22.0,-22.0,13.0,101.53,0.0,,7350.0,460.0,46.0,800.0,0.575
16,PL.DCE,20230414,7832.0,7832.0,,,,7832.0,7832.0,0.0,0.0,200.0,1566.4,1962.0,,7270.0,562.0,22.0,742.0,0.7574123989218329
17,PL.DCE,20230413,7840.0,7832.0,,,,7832.0,7832.0,0.0,0.0,100.0,784.0,2162.0,,7334.0,498.0,0.0,678.0,0.7345132743362832
18,PL.DCE,20230412,7804.0,7804.0,7804.0,7844.0,7804.0,7840.0,7832.0,36.0,28.0,311.0,2436.15,2262.0,,7442.0,398.0,8.0,578.0,0.6885813148788927
19,PL.DCE,20230411,7804.0,7804.0,,,,7804.0,7804.0,0.0,0.0,50.0,391.08,2473.0,,7502.0,302.0,36.0,554.0,0.5451263537906137
20,PL.DCE,20230410,7804.0,7804.0,7804.0,7804.0,7804.0,7804.0,7804.0,0.0,0.0,250.0,1951.0,2503.0,,7458.0,346.0,0.0,510.0,0.6784313725490196
21,PL.DCE,20230407,7800.0,7804.0,7804.0,7804.0,7804.0,7804.0,7804.0,0.0,0.0,501.0,3909.8,2603.0,,7698.0,106.0,0.0,270.0,0.3925925925925926
22,PL.DCE,20230406,7810.0,7818.0,7818.0,7818.0,7800.0,7800.0,7804.0,-18.0,-14.0,851.0,6642.61,3104.0,,7790.0,10.0,4.0,182.0,0.054945054945054944
23,PL.DCE,20230404,7850.0,7758.0,7842.0,7850.0,7790.0,7810.0,7818.0,52.0,60.0,1877.0,14675.12,3624.0,,7856.0,46.0,10.0,126.0,0.36507936507936506
24,PL.DCE,20230403,7622.0,7682.0,7320.0,7858.0,7320.0,7850.0,7758.0,168.0,76.0,341.0,2645.86,4105.0,,7856.0,6.0,40.0,166.0,0.03614457831325301
25,PL.DCE,20230331,7700.0,7604.0,7686.0,7720.0,7598.0,7622.0,7682.0,18.0,78.0,591.0,4540.51,4307.0,,7810.0,188.0,228.0,348.0,0.5402298850574713
26,PL.DCE,20230330,7598.0,7578.0,7578.0,7700.0,7546.0,7700.0,7604.0,122.0,26.0,389.0,2957.98,4518.0,,7832.0,132.0,78.0,404.0,0.32673267326732675
27,PL.DCE,20230329,7582.0,7500.0,7532.0,7676.0,7532.0,7598.0,7578.0,98.0,78.0,243.0,1841.74,4603.0,,7832.0,234.0,102.0,506.0,0.4624505928853755
28,PL.DCE,20230328,7424.0,7388.0,7404.0,7582.0,7404.0,7582.0,7500.0,194.0,112.0,1354.0,10155.95,4742.0,,7840.0,258.0,16.0,514.0,0.5019455252918288
29,PL.DCE,20230327,7410.0,7232.0,7312.0,7436.0,7308.0,7424.0,7388.0,192.0,156.0,328.0,2423.58,5250.0,,7804.0,380.0,158.0,636.0,0.5974842767295597
