timestamp,gdp_season_yoy,1onGDP_yoy,gdp_accum_yoy,t_ondecay
2005-02-24,0.0,0.3999999999999999,0.5899999999999999,0
2005-02-25,0.0,0.3999999999999999,0.5899999999999999,0
2005-02-28,0.0,0.3999999999999999,0.5899999999999999,1
2005-03-01,0.0,0.3999999999999999,0.5899999999999999,2
2005-03-02,0.0,0.3999999999999999,0.5899999999999999,3
2005-03-03,0.0,0.3999999999999999,0.5899999999999999,4
2005-03-04,0.0,0.3999999999999999,0.5899999999999999,5
2005-03-07,0.0,0.3999999999999999,0.5899999999999999,6
2005-03-08,0.0,0.3999999999999999,0.5899999999999999,7
2005-03-09,0.0,0.3999999999999999,0.5899999999999999,8
2005-03-10,0.0,0.3999999999999999,0.5899999999999999,9
2005-03-11,0.0,0.3999999999999999,0.5899999999999999,10
2005-03-14,0.0,0.3999999999999999,0.5899999999999999,11
2005-03-15,0.0,0.3999999999999999,0.5899999999999999,12
2005-03-16,0.0,0.3999999999999999,0.5899999999999999,13
2005-03-17,0.0,0.3999999999999999,0.5899999999999999,14
2005-03-18,0.0,0.3999999999999999,0.5899999999999999,15
2005-03-21,0.0,0.3999999999999999,0.5899999999999999,16
2005-03-22,0.0,-0.7999999999999998,-2.17,17
2005-03-23,0.0,-0.7999999999999998,-2.17,18
2005-03-24,0.0,-0.7999999999999998,-2.17,19
2005-03-25,0.0,-0.7999999999999998,-2.17,20
2005-03-28,0.0,-0.7999999999999998,-2.17,21
2005-03-29,0.0,-0.7999999999999998,-2.17,22
2005-03-30,0.0,-0.7999999999999998,-2.17,23
2005-03-31,0.0,-0.7999999999999998,-2.17,24
2005-04-01,0.0,-0.7999999999999998,-2.17,25
2005-04-04,0.0,-0.7999999999999998,-2.17,26
2005-04-05,0.0,-0.7999999999999998,-2.17,27
2005-04-06,0.0,-0.7999999999999998,-2.17,28
2005-04-07,0.0,-0.7999999999999998,-2.17,29
2005-04-08,0.0,-0.7999999999999998,-2.17,30
2005-04-11,0.0,-0.7999999999999998,-2.17,31
2005-04-12,0.0,-0.7999999999999998,-2.17,32
2005-04-13,0.0,-0.7999999999999998,-2.17,33
2005-04-14,0.0,-0.7999999999999998,-2.17,34
2005-04-15,-0.3000000000000007,-0.5999999999999996,0.41000000000000014,0
2005-04-18,-0.3000000000000007,-0.5999999999999996,0.41000000000000014,1
2005-04-19,-0.5,0.7000000000000002,0.05999999999999872,0
2005-04-20,-0.29999999999999893,-1.7000000000000002,-1.4499999999999993,0
2005-04-21,-0.29999999999999893,-1.7000000000000002,-1.4499999999999993,1
2005-04-22,-0.29999999999999893,-1.7000000000000002,-1.4499999999999993,2
2005-04-25,-0.29999999999999893,-1.7000000000000002,-1.4499999999999993,3
2005-04-26,-0.29999999999999893,-1.7000000000000002,-1.4499999999999993,4
2005-04-27,-0.29999999999999893,-1.7000000000000002,-1.4499999999999993,5
2005-04-28,-0.29999999999999893,-1.7000000000000002,-1.4499999999999993,6
2005-04-29,-0.29999999999999893,-1.7000000000000002,-1.4499999999999993,7
2005-05-09,-0.29999999999999893,-1.7000000000000002,-1.4499999999999993,8
2005-05-10,-0.29999999999999893,-1.7000000000000002,-1.4499999999999993,9
2005-05-11,-0.29999999999999893,-1.7000000000000002,-1.4499999999999993,10
2005-05-12,-0.29999999999999893,-1.7000000000000002,-1.4499999999999993,11
2005-05-13,-0.29999999999999893,-1.7000000000000002,-1.4499999999999993,12
2005-05-16,-0.29999999999999893,-1.7000000000000002,-1.4499999999999993,13
2005-05-17,-0.29999999999999893,-1.7000000000000002,-1.4499999999999993,14
2005-05-18,-0.29999999999999893,-1.7000000000000002,-1.4499999999999993,15
2005-05-19,-0.29999999999999893,-1.7000000000000002,-1.4499999999999993,16
2005-05-20,0.5,0.2999999999999998,-0.08999999999999986,0
2005-05-23,0.5,0.2999999999999998,-0.08999999999999986,1
2005-05-24,0.5,0.2999999999999998,-0.08999999999999986,2
2005-05-25,0.2999999999999998,0.3999999999999999,0.20999999999999908,0
2005-05-26,0.2999999999999998,0.3999999999999999,0.20999999999999908,1
2005-05-27,-0.2999999999999998,-0.5,-1.669999999999999,0
2005-05-30,-0.2999999999999998,-0.5,-1.669999999999999,1
2005-05-31,-0.2999999999999998,-0.5,-1.669999999999999,2
2005-06-01,-0.2999999999999998,-0.5,-1.669999999999999,3
2005-06-02,-0.2999999999999998,-0.5,-1.669999999999999,4
2005-06-03,-0.2999999999999998,-0.5,-1.669999999999999,5
2005-06-06,-0.2999999999999998,-0.5,-1.669999999999999,6
2005-06-07,-0.2999999999999998,-0.5,-1.669999999999999,7
2005-06-08,-0.2999999999999998,-0.5,-1.669999999999999,8
2005-06-09,-0.2999999999999998,-0.5,-1.669999999999999,9
2005-06-10,-0.2999999999999998,-0.5,-1.669999999999999,10
2005-06-13,-0.2999999999999998,-0.5,-1.669999999999999,11
2005-06-14,-0.2999999999999998,-0.5,-1.669999999999999,12
2005-06-15,-0.2999999999999998,-0.5,-1.669999999999999,13
2005-06-16,-0.2999999999999998,-0.5,-1.669999999999999,14
2005-06-17,-0.2999999999999998,-0.5,-1.669999999999999,15
2005-06-20,-0.2999999999999998,-0.5,-1.669999999999999,16
2005-06-21,-0.2999999999999998,-0.5,-1.669999999999999,17
2005-06-22,-0.2999999999999998,-0.5,-1.669999999999999,18
2005-06-23,-0.09999999999999964,0.10000000000000009,-0.8600000000000012,0
2005-06-24,-0.09999999999999964,0.10000000000000009,-0.8600000000000012,1
2005-06-27,-0.09999999999999964,0.10000000000000009,-0.8600000000000012,2
