,open,high,low,close,timestamp,support,trends,H-L,SMA,HiLo,Href,Lref,diff1,diff2,ATRmod,loss,resistance
0,74.25,74.97,73.53,73.66,2019-01-02,0.0,0.0,1.4399999999999977,,,1.1400000000000006,0.29999999999999716,,,,,
1,72.51,74.54,72.51,73.83,2019-01-03,0.0,0.0,2.030000000000001,,,-2.4199999999999875,4.449999999999989,,,,,
2,73.33,77.24,73.23,76.96,2019-01-04,0.0,0.0,4.009999999999991,,,-0.18000000000000682,4.189999999999998,,,,,
3,76.94,77.65,76.3,77.42,2019-01-07,0.0,0.0,1.3500000000000085,,,-1.6799999999999926,3.030000000000001,,,,,
4,77.22,79.45,77.2,79.33,2019-01-08,0.0,0.0,2.25,,,1.4699999999999989,0.7800000000000011,,,,,
5,77.0,78.21,75.18,77.98,2019-01-09,0.0,0.0,3.029999999999987,,,1.9299999999999926,1.0999999999999943,,,,,
6,77.64,77.85,76.02,76.28,2019-01-10,0.0,0.0,1.8299999999999983,,,2.559999999999988,-0.7299999999999898,,,,,
7,76.6,76.75,74.8,75.29,2019-01-11,0.0,0.0,1.9500000000000028,,,0.6700000000000017,1.2800000000000011,,,,,
8,75.3,76.33,74.3,76.08,2019-01-14,0.0,0.0,2.030000000000001,,,-1.0400000000000063,3.0700000000000074,,,,,
9,76.0,77.48,74.85,77.37,2019-01-15,0.0,0.0,2.6300000000000097,2.255,2.6300000000000097,0.8100000000000023,1.8200000000000074,2.6300000000000097,2.6300000000000097,2.6300000000000097,7.3640000000000265,84.73400000000004
10,76.9,77.2,76.41,76.67,2019-01-16,74.3,74.3,0.7900000000000063,2.1900000000000004,0.7900000000000063,0.5400000000000063,0.25,0.7900000000000063,0.7900000000000063,2.4460000000000095,6.848800000000026,83.51880000000003
11,76.95,77.69,76.41,76.66,2019-01-17,74.3,74.3,1.2800000000000011,2.1150000000000007,1.2800000000000011,2.289999999999992,-1.009999999999991,2.289999999999992,2.289999999999992,2.4304000000000077,6.805120000000021,83.46512000000001
12,77.16,77.16,74.0,75.4,2019-01-18,74.3,74.3,3.1599999999999966,2.030000000000001,3.0450000000000017,1.9200000000000017,1.2399999999999949,3.0450000000000017,3.0450000000000017,2.491860000000007,6.97720800000002,82.37720800000002
