,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,002010.SZ,20230420,5.87,5.91,5.78,5.84,5.87,-0.03,-0.5111,161774.07,94258.881
1,002010.SZ,20230419,5.92,5.94,5.86,5.87,5.93,-0.06,-1.0118,135474.83,79939.519
2,002010.SZ,20230418,5.92,5.99,5.9,5.93,5.95,-0.02,-0.3361,149457.54,88696.892
3,002010.SZ,20230417,5.91,5.96,5.89,5.95,5.93,0.02,0.3373,154730.2,91690.831
4,002010.SZ,20230414,5.98,5.98,5.88,5.93,5.92,0.01,0.1689,131605.61,78036.621
5,002010.SZ,20230413,6.04,6.05,5.91,5.92,6.04,-0.12,-1.9868,256021.33,152729.304
6,002010.SZ,20230412,6.02,6.07,6.02,6.04,6.05,-0.01,-0.1653,152194.36,91950.234
7,002010.SZ,20230411,6.03,6.13,6.0,6.05,6.03,0.02,0.3317,185654.42,112411.498
8,002010.SZ,20230410,6.11,6.12,6.02,6.03,6.11,-0.08,-1.3093,190988.55,115585.304
9,002010.SZ,20230407,6.09,6.17,6.05,6.11,6.04,0.07,1.1589,200987.52,122709.408
10,002010.SZ,20230406,6.12,6.14,6.02,6.04,6.16,-0.12,-1.9481,210486.45,127665.731
11,002010.SZ,20230404,6.19,6.24,6.13,6.16,6.19,-0.03,-0.4847,195966.65,121017.964
12,002010.SZ,20230403,6.08,6.25,6.07,6.19,6.09,0.1,1.642,250055.82,154273.314
13,002010.SZ,20230331,6.11,6.14,6.07,6.09,6.11,-0.02,-0.3273,182569.99,111454.847
14,002010.SZ,20230330,6.16,6.18,6.0,6.11,6.17,-0.06,-0.9724,317553.58,193718.808
15,002010.SZ,20230329,6.27,6.38,6.15,6.17,6.15,0.02,0.3252,479522.2,299284.149
16,002010.SZ,20230328,6.18,6.27,6.13,6.15,6.15,0.0,0.0,315847.01,195314.951
17,002010.SZ,20230327,6.07,6.24,6.03,6.15,6.07,0.08,1.318,348163.1,213209.176
18,002010.SZ,20230324,6.1,6.12,6.03,6.07,6.08,-0.01,-0.1645,209044.71,126868.326
19,002010.SZ,20230323,6.02,6.1,5.97,6.08,6.04,0.04,0.6623,324836.85,196758.725
20,002010.SZ,20230322,5.84,6.05,5.83,6.04,5.84,0.2,3.4247,370731.64,221639.211
21,002010.SZ,20230321,5.8,5.85,5.78,5.84,5.8,0.04,0.6897,127058.49,73994.87
22,002010.SZ,20230320,5.84,5.9,5.77,5.8,5.85,-0.05,-0.8547,147617.18,86016.018
23,002010.SZ,20230317,5.81,5.9,5.79,5.85,5.76,0.09,1.5625,165741.57,96937.827
24,002010.SZ,20230316,5.85,5.87,5.76,5.76,5.88,-0.12,-2.0408,142916.56,83054.349
25,002010.SZ,20230315,5.76,5.9,5.75,5.88,5.74,0.14,2.439,184679.74,108134.806
26,002010.SZ,20230314,5.84,5.84,5.68,5.74,5.83,-0.09,-1.5437,153802.15,88397.246
27,002010.SZ,20230313,5.72,5.85,5.71,5.83,5.77,0.06,1.0399,148350.36,85777.011
28,002010.SZ,20230310,5.88,5.89,5.76,5.77,5.9,-0.13,-2.2034,200235.54,116285.161
29,002010.SZ,20230309,5.93,5.95,5.87,5.9,5.93,-0.03,-0.5059,120757.29,71370.999
30,002010.SZ,20230308,5.89,5.93,5.85,5.93,5.9,0.03,0.5085,140999.95,83137.852
31,002010.SZ,20230307,6.0,6.06,5.9,5.9,6.0,-0.1,-1.6667,232385.84,138624.648
32,002010.SZ,20230306,6.12,6.13,5.98,6.0,6.09,-0.09,-1.4778,222209.02,134118.77
33,002010.SZ,20230303,6.08,6.11,6.04,6.09,6.06,0.03,0.495,176105.89,107047.408
34,002010.SZ,20230302,6.04,6.12,6.02,6.06,6.05,0.01,0.1653,191541.65,116103.406
35,002010.SZ,20230301,5.95,6.05,5.94,6.05,5.96,0.09,1.5101,184579.13,110761.388
36,002010.SZ,20230228,5.92,5.96,5.89,5.96,5.91,0.05,0.846,116107.85,68873.548
37,002010.SZ,20230227,5.99,6.01,5.89,5.91,5.98,-0.07,-1.1706,178629.0,106051.59
38,002010.SZ,20230224,6.08,6.08,5.97,5.98,6.06,-0.08,-1.3201,193707.22,116321.896
39,002010.SZ,20230223,6.17,6.17,6.01,6.06,6.17,-0.11,-1.7828,281529.92,171286.112
40,002010.SZ,20230222,6.19,6.19,6.13,6.17,6.22,-0.05,-0.8039,261305.43,160723.393
41,002010.SZ,20230221,6.08,6.27,6.03,6.22,6.07,0.15,2.4712,560823.94,345368.266
42,002010.SZ,20230220,6.05,6.09,5.99,6.07,6.05,0.02,0.3306,307246.79,185384.716
43,002010.SZ,20230217,6.07,6.15,6.01,6.05,6.11,-0.06,-0.982,433646.01,263159.378
44,002010.SZ,20230216,6.01,6.36,6.0,6.11,6.02,0.09,1.495,925938.35,573370.066
45,002010.SZ,20230215,6.09,6.09,5.99,6.02,6.04,-0.02,-0.3311,182893.47,109980.239
46,002010.SZ,20230214,6.01,6.11,5.98,6.04,5.95,0.09,1.5126,355902.83,215014.83
47,002010.SZ,20230213,5.89,5.97,5.87,5.95,5.9,0.05,0.8475,230712.39,136720.888
48,002010.SZ,20230210,5.92,5.94,5.87,5.9,5.92,-0.02,-0.3378,197414.93,116548.741
49,002010.SZ,20230209,5.85,5.93,5.84,5.92,5.88,0.04,0.6803,209237.94,123426.277
50,002010.SZ,20230208,5.99,6.01,5.86,5.88,5.99,-0.11,-1.8364,257618.2,152373.426
51,002010.SZ,20230207,6.01,6.04,5.96,5.99,6.01,-0.02,-0.3328,210815.83,126139.705
52,002010.SZ,20230206,5.98,6.06,5.95,6.01,6.0,0.01,0.1667,243090.03,146068.787
53,002010.SZ,20230203,6.01,6.03,5.92,6.0,6.03,-0.03,-0.4975,231887.79,138483.188
54,002010.SZ,20230202,6.08,6.1,6.01,6.03,6.07,-0.04,-0.659,237104.46,142999.107
55,002010.SZ,20230201,6.02,6.09,5.98,6.07,6.04,0.03,0.4967,281499.44,169847.536
56,002010.SZ,20230131,5.93,6.05,5.91,6.04,5.93,0.11,1.855,293302.25,176232.584
57,002010.SZ,20230130,5.99,6.1,5.91,5.93,5.95,-0.02,-0.3361,329670.86,196921.741
58,002010.SZ,20230120,5.88,6.0,5.85,5.95,5.94,0.01,0.1684,291587.78,173105.331
59,002010.SZ,20230119,5.98,5.99,5.91,5.94,5.97,-0.03,-0.5025,195752.65,116321.813
60,002010.SZ,20230118,6.0,6.05,5.95,5.97,6.04,-0.07,-1.1589,246765.35,147876.358
61,002010.SZ,20230117,5.95,6.15,5.94,6.04,5.98,0.06,1.0033,387021.93,234744.991
62,002010.SZ,20230116,5.96,6.01,5.87,5.98,5.94,0.04,0.6734,293019.63,174555.55
63,002010.SZ,20230113,5.9,5.97,5.86,5.94,5.89,0.05,0.8489,270819.2,160161.877
64,002010.SZ,20230112,5.97,6.01,5.82,5.89,5.97,-0.08,-1.34,409449.21,240987.495
65,002010.SZ,20230111,6.08,6.25,5.96,5.97,6.05,-0.08,-1.3223,589762.42,359448.99
66,002010.SZ,20230110,6.07,6.21,5.93,6.05,6.23,-0.18,-2.8892,892327.32,538024.306
67,002010.SZ,20230109,6.15,6.49,6.15,6.23,5.9,0.33,5.5932,1370487.17,867044.258
68,002010.SZ,20230106,6.05,6.46,5.87,5.9,5.98,-0.08,-1.3378,1442879.13,876328.815
69,002010.SZ,20230105,5.72,5.98,5.72,5.98,5.44,0.54,9.9265,348207.06,206381.896
70,002010.SZ,20230104,5.45,5.55,5.38,5.44,5.47,-0.03,-0.5484,153455.29,83584.589
71,002010.SZ,20230103,5.36,5.49,5.31,5.47,5.34,0.13,2.4345,144274.85,78298.994
72,002010.SZ,20221230,5.31,5.36,5.28,5.34,5.28,0.06,1.1364,77154.21,41113.192
73,002010.SZ,20221229,5.35,5.37,5.28,5.28,5.37,-0.09,-1.676,85964.7,45620.477
74,002010.SZ,20221228,5.41,5.43,5.33,5.37,5.42,-0.05,-0.9225,82548.49,44465.859
75,002010.SZ,20221227,5.4,5.45,5.37,5.42,5.37,0.05,0.9311,94239.78,51035.434
76,002010.SZ,20221226,5.31,5.43,5.25,5.37,5.31,0.06,1.1299,128221.22,68421.408
77,002010.SZ,20221223,5.27,5.39,5.25,5.31,5.28,0.03,0.5682,115923.46,61600.179
78,002010.SZ,20221222,5.42,5.46,5.26,5.28,5.4,-0.12,-2.2222,194084.48,103796.402
79,002010.SZ,20221221,5.45,5.54,5.38,5.4,5.45,-0.05,-0.9174,135853.04,73844.689
80,002010.SZ,20221220,5.44,5.5,5.4,5.45,5.47,-0.02,-0.3656,122241.6,66556.679
81,002010.SZ,20221219,5.69,5.7,5.44,5.47,5.67,-0.2,-3.5273,172801.43,95667.159
82,002010.SZ,20221216,5.67,5.72,5.63,5.67,5.71,-0.04,-0.7005,125366.8,70961.644
83,002010.SZ,20221215,5.62,5.81,5.62,5.71,5.65,0.06,1.0619,186860.75,106767.888
84,002010.SZ,20221214,5.69,5.72,5.62,5.65,5.7,-0.05,-0.8772,121837.53,69094.431
85,002010.SZ,20221213,5.72,5.78,5.68,5.7,5.7,0.0,0.0,116203.16,66559.465
86,002010.SZ,20221212,5.75,5.82,5.65,5.7,5.83,-0.13,-2.2298,285084.29,162939.053
87,002010.SZ,20221209,5.99,6.02,5.8,5.83,5.98,-0.15,-2.5084,334064.97,195971.915
88,002010.SZ,20221208,5.85,6.06,5.82,5.98,5.85,0.13,2.2222,427543.75,255452.067
89,002010.SZ,20221207,5.85,5.94,5.8,5.85,5.86,-0.01,-0.1706,216697.24,126850.293
90,002010.SZ,20221206,5.86,5.94,5.82,5.86,5.88,-0.02,-0.3401,180467.66,105830.764
91,002010.SZ,20221205,5.75,5.98,5.74,5.88,5.69,0.19,3.3392,342364.33,200556.128
92,002010.SZ,20221202,5.78,5.79,5.69,5.69,5.77,-0.08,-1.3865,166624.21,95249.701
93,002010.SZ,20221201,5.74,5.9,5.74,5.77,5.7,0.07,1.2281,281260.92,163618.781
94,002010.SZ,20221130,5.74,5.81,5.7,5.7,5.76,-0.06,-1.0417,362896.48,207710.44
95,002010.SZ,20221129,5.67,5.77,5.66,5.76,5.65,0.11,1.9469,156995.92,89965.961
96,002010.SZ,20221128,5.68,5.71,5.55,5.65,5.8,-0.15,-2.5862,213262.48,119903.449
