,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,002069.SZ,20230420,3.64,3.76,3.62,3.74,3.64,0.1,2.7473,63126.25,23313.758
1,002069.SZ,20230419,3.62,3.74,3.6,3.64,3.6,0.04,1.1111,45617.0,16727.987
2,002069.SZ,20230418,3.6,3.62,3.57,3.6,3.6,0.0,0.0,16975.06,6103.579
3,002069.SZ,20230417,3.59,3.61,3.56,3.6,3.6,0.0,0.0,21339.38,7658.438
4,002069.SZ,20230414,3.61,3.62,3.57,3.6,3.57,0.03,0.8403,25333.0,9108.722
5,002069.SZ,20230413,3.55,3.57,3.53,3.57,3.56,0.01,0.2809,26370.0,9360.996
6,002069.SZ,20230412,3.56,3.59,3.53,3.56,3.57,-0.01,-0.2801,32937.5,11721.987
7,002069.SZ,20230411,3.63,3.64,3.55,3.57,3.63,-0.06,-1.6529,45899.0,16471.605
8,002069.SZ,20230410,3.62,3.66,3.6,3.63,3.64,-0.01,-0.2747,33877.0,12309.499
9,002069.SZ,20230407,3.65,3.66,3.59,3.64,3.58,0.06,1.676,26217.5,9530.188
10,002069.SZ,20230406,3.59,3.63,3.55,3.58,3.59,-0.01,-0.2786,34889.5,12520.017
11,002069.SZ,20230404,3.65,3.67,3.59,3.59,3.66,-0.07,-1.9126,38569.1,13982.789
12,002069.SZ,20230403,3.58,3.66,3.57,3.66,3.57,0.09,2.521,33924.5,12302.094
13,002069.SZ,20230331,3.54,3.6,3.54,3.57,3.55,0.02,0.5634,19460.0,6965.473
14,002069.SZ,20230330,3.62,3.63,3.53,3.55,3.62,-0.07,-1.9337,35290.0,12617.219
15,002069.SZ,20230329,3.64,3.66,3.61,3.62,3.62,0.0,0.0,25004.0,9076.281
16,002069.SZ,20230328,3.66,3.66,3.61,3.62,3.64,-0.02,-0.5495,18744.0,6790.756
17,002069.SZ,20230327,3.63,3.66,3.59,3.64,3.62,0.02,0.5525,25067.0,9088.776
18,002069.SZ,20230324,3.66,3.66,3.59,3.62,3.65,-0.03,-0.8219,22309.38,8081.579
19,002069.SZ,20230323,3.66,3.68,3.63,3.65,3.68,-0.03,-0.8152,32227.66,11754.198
20,002069.SZ,20230322,3.69,3.75,3.66,3.68,3.68,0.0,0.0,24093.38,8893.123
21,002069.SZ,20230321,3.67,3.69,3.63,3.68,3.67,0.01,0.2725,26755.5,9790.704
22,002069.SZ,20230320,3.63,3.69,3.6,3.67,3.64,0.03,0.8242,38264.68,13977.144
23,002069.SZ,20230317,3.64,3.65,3.57,3.64,3.62,0.02,0.5525,46804.73,16882.904
24,002069.SZ,20230316,3.69,3.69,3.61,3.62,3.69,-0.07,-1.897,19272.01,7027.808
