,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,002208.SZ,20230420,6.83,6.87,6.78,6.79,6.85,-0.06,-0.8759,48336.54,32874.233
1,002208.SZ,20230419,6.92,6.93,6.84,6.85,6.93,-0.08,-1.1544,40822.4,28036.014
2,002208.SZ,20230418,6.94,6.97,6.9,6.93,6.94,-0.01,-0.1441,34740.8,24086.694
3,002208.SZ,20230417,6.92,6.96,6.88,6.94,6.92,0.02,0.289,41492.76,28726.884
4,002208.SZ,20230414,6.91,6.97,6.88,6.92,6.92,0.0,0.0,42777.0,29649.53
5,002208.SZ,20230413,6.85,6.98,6.83,6.92,6.9,0.02,0.2899,62855.56,43509.855
6,002208.SZ,20230412,6.92,6.95,6.86,6.9,6.92,-0.02,-0.289,40646.4,28031.136
7,002208.SZ,20230411,6.86,6.94,6.76,6.92,6.86,0.06,0.8746,60101.8,41111.773
8,002208.SZ,20230410,6.97,6.97,6.84,6.86,6.98,-0.12,-1.7192,66871.95,46095.981
9,002208.SZ,20230407,6.86,7.0,6.85,6.98,6.86,0.12,1.7493,58853.66,41035.348
10,002208.SZ,20230406,6.92,6.92,6.84,6.86,6.92,-0.06,-0.8671,41326.07,28367.389
11,002208.SZ,20230404,6.98,6.98,6.91,6.92,6.95,-0.03,-0.4317,48726.0,33803.489
12,002208.SZ,20230403,6.85,6.97,6.82,6.95,6.84,0.11,1.6082,57270.34,39742.041
13,002208.SZ,20230331,6.84,6.89,6.83,6.84,6.84,0.0,0.0,40605.41,27872.899
14,002208.SZ,20230330,6.96,6.99,6.81,6.84,7.03,-0.19,-2.7027,104318.41,71651.708
15,002208.SZ,20230329,7.19,7.3,7.01,7.03,6.97,0.06,0.8608,142602.76,101805.245
16,002208.SZ,20230328,7.1,7.11,6.96,6.97,7.13,-0.16,-2.244,59178.0,41515.468
17,002208.SZ,20230327,7.06,7.18,6.96,7.13,7.1,0.03,0.4225,92078.0,65095.475
18,002208.SZ,20230324,7.03,7.11,6.99,7.1,7.03,0.07,0.9957,61224.45,43203.493
19,002208.SZ,20230323,7.03,7.04,6.98,7.03,7.02,0.01,0.1425,34899.2,24451.707
20,002208.SZ,20230322,7.0,7.03,6.98,7.02,6.98,0.04,0.5731,32561.48,22830.339
21,002208.SZ,20230321,6.96,7.03,6.95,6.98,6.96,0.02,0.2874,38103.04,26596.525
22,002208.SZ,20230320,7.0,7.08,6.95,6.96,7.0,-0.04,-0.5714,46051.06,32262.742
23,002208.SZ,20230317,7.0,7.06,6.98,7.0,6.97,0.03,0.4304,43010.62,30201.165
24,002208.SZ,20230316,6.99,7.13,6.93,6.97,7.02,-0.05,-0.7123,60235.4,42235.233
25,002208.SZ,20230315,6.93,7.03,6.91,7.02,6.89,0.13,1.8868,55666.6,38756.931
26,002208.SZ,20230314,6.97,6.98,6.82,6.89,6.93,-0.04,-0.5772,45500.6,31350.752
27,002208.SZ,20230313,7.02,7.05,6.88,6.93,7.02,-0.09,-1.2821,56959.0,39502.488
28,002208.SZ,20230310,7.11,7.11,7.01,7.02,7.13,-0.11,-1.5428,67711.6,47719.227
29,002208.SZ,20230309,7.16,7.18,7.11,7.13,7.15,-0.02,-0.2797,40363.0,28799.415
30,002208.SZ,20230308,7.13,7.17,7.11,7.15,7.15,0.0,0.0,35718.6,25501.326
31,002208.SZ,20230307,7.29,7.29,7.15,7.15,7.29,-0.14,-1.9204,59688.2,43080.13
32,002208.SZ,20230306,7.35,7.35,7.23,7.29,7.34,-0.05,-0.6812,79917.84,58128.378
33,002208.SZ,20230303,7.27,7.35,7.25,7.34,7.27,0.07,0.9629,85551.0,62483.395
34,002208.SZ,20230302,7.28,7.3,7.24,7.27,7.27,0.0,0.0,65444.8,47626.637
35,002208.SZ,20230301,7.23,7.28,7.2,7.27,7.23,0.04,0.5533,72574.82,52654.815
36,002208.SZ,20230228,7.17,7.23,7.14,7.23,7.19,0.04,0.5563,39868.4,28634.111
37,002208.SZ,20230227,7.2,7.28,7.16,7.19,7.21,-0.02,-0.2774,57581.0,41573.845
38,002208.SZ,20230224,7.25,7.25,7.1,7.21,7.22,-0.01,-0.1385,61405.2,44085.254
39,002208.SZ,20230223,7.26,7.36,7.2,7.22,7.23,-0.01,-0.1383,87286.6,63426.205
40,002208.SZ,20230222,7.2,7.25,7.18,7.23,7.23,0.0,0.0,51107.8,36921.869
