,symbol,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_basis,dom_basis,near_basis_rate,dom_basis_rate,date
0,C,2831.43,c2301,2810.0,c2303,2830.0,-21.429999999999836,-1.4299999999998363,-0.007568613739347252,-0.0005050451538620715,20230103
1,CS,3128.0,cs2301,2962.0,cs2303,2958.0,-166.0,-170.0,-0.05306905370843995,-0.05434782608695654,20230103
2,A,5600.0,a2301,5251.0,a2305,5222.0,-349.0,-378.0,-0.06232142857142853,-0.0675,20230103
3,M,4686.0,m2301,4636.0,m2305,3942.0,-50.0,-744.0,-0.010670081092616357,-0.1587708066581306,20230103
4,Y,9490.0,y2301,9126.0,y2305,8844.0,-364.0,-646.0,-0.0383561643835616,-0.0680716543730242,20230103
5,P,8152.5,p2301,7948.0,p2305,8224.0,-204.5,71.5,-0.025084329960134877,0.008770315854032429,20230103
6,JD,4575.0,jd2301,3947.0,jd2305,4330.0,-628.0,-245.0,-0.13726775956284154,-0.05355191256830605,20230103
7,L,8328.57,l2301,8071.0,l2305,8159.0,-257.5699999999997,-169.5699999999997,-0.030926077345810876,-0.02036003779760509,20230103
8,V,6141.67,v2301,6179.0,v2305,6239.0,37.32999999999993,97.32999999999993,0.00607815138227874,0.015847481222533988,20230103
9,PP,7858.33,pp2301,7760.0,pp2305,7817.0,-98.32999999999993,-41.32999999999993,-0.012512836696855434,-0.005259387172592667,20230103
10,I,857.56,i2301,849.0,i2305,849.5,-8.559999999999945,-8.059999999999945,-0.009981808853024798,-0.009398759270488277,20230103
11,EG,4083.33,eg2301,4008.0,eg2305,4145.0,-75.32999999999993,61.67000000000007,-0.01844817832504353,0.015102869471730118,20230103
12,EB,8116.67,eb2301,8456.0,eb2302,8484.0,339.3299999999999,367.3299999999999,0.041806553672873115,0.04525624424794894,20230103
13,PG,5234.0,pg2301,4217.0,pg2302,4276.0,-1017.0,-958.0,-0.19430645777607947,-0.18303400840657236,20230103
14,LH,17.1,lh2301,14365.0,lh2303,15640.0,14347.9,15622.9,839.0584795321637,913.6198830409356,20230103
15,WH,3128.0,WH301,3526.0,WH303,3284.0,398.0,156.0,0.1272378516624042,0.04987212276214836,20230103
16,PM,3128.0,PM301,3043.0,PM301,3043.0,-85.0,-85.0,-0.02717391304347827,-0.02717391304347827,20230103
17,CF,15048.0,CF301,14300.0,CF305,14225.0,-748.0,-823.0,-0.049707602339181256,-0.0546916533758639,20230103
18,SR,5786.0,SR301,5851.0,SR303,5785.0,65.0,-1.0,0.01123401313515382,-0.0001728309713100451,20230103
19,TA,5609.09,TA301,5486.0,TA305,5480.0,-123.09000000000015,-129.09000000000015,-0.021944736133668763,-0.023014428365385475,20230103
20,OI,12960.0,OI301,11364.0,OI305,10691.0,-1596.0,-2269.0,-0.12314814814814812,-0.17507716049382716,20230103
21,MA,2708.33,MA301,2630.0,MA305,2654.0,-78.32999999999993,-54.32999999999993,-0.028921881750008316,-0.020060332381947488,20230103
22,FG,1501.6,FG301,1579.0,FG305,1663.0,77.40000000000009,161.4000000000001,0.05154501864677674,0.10748534896110828,20230103
23,RS,7184.0,RS307,5804.0,RS311,5982.0,-1380.0,-1202.0,-0.19209354120267264,-0.16731625835189312,20230103
24,RM,3374.0,RM301,3335.0,RM305,3231.0,-39.0,-143.0,-0.011558980438648447,-0.04238292827504442,20230103
25,SF,8190.0,SF301,8732.0,SF303,8402.0,542.0,212.0,0.06617826617826617,0.025885225885225793,20230103
26,SM,7333.33,SM301,7620.0,SM305,7556.0,286.6700000000001,222.67000000000007,0.03909138140517343,0.03036410471095663,20230103
27,CY,24575.0,CY301,20925.0,CY305,21635.0,-3650.0,-2940.0,-0.14852492370295012,-0.1196337741607324,20230103
