,symbol,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_basis,dom_basis,near_basis_rate,dom_basis_rate,date
0,C,1850.0,c1901,1823.0,c1905,1860.0,-27.0,10.0,-0.014594594594594557,0.00540540540540535,20190102
1,CS,2590.0,cs1901,2343.0,cs1905,2323.0,-247.0,-267.0,-0.09536679536679538,-0.10308880308880308,20190102
2,A,3550.0,a1901,3189.0,a1905,3434.0,-361.0,-116.0,-0.10169014084507044,-0.03267605633802817,20190102
3,M,2875.0,m1901,2834.0,m1905,2639.0,-41.0,-236.0,-0.014260869565217438,-0.08208695652173914,20190102
4,Y,5160.0,y1901,4892.0,y1905,5422.0,-268.0,262.0,-0.05193798449612408,0.050775193798449525,20190102
5,P,4180.0,p1901,4100.0,p1905,4558.0,-80.0,378.0,-0.019138755980861233,0.09043062200956942,20190102
6,JD,4045.0,jd1901,4245.0,jd1905,3426.0,200.0,-619.0,0.04944375772558707,-0.15302843016069223,20190102
7,L,9250.0,l1901,9020.0,l1905,8530.0,-230.0,-720.0,-0.024864864864864833,-0.07783783783783782,20190102
8,V,6550.0,v1901,6640.0,v1905,6380.0,90.0,-170.0,0.013740458015267132,-0.025954198473282397,20190102
9,PP,9083.33,pp1901,9088.0,pp1905,8532.0,4.670000000000073,-551.3299999999999,0.000514128629037991,-0.06069690300803776,20190102
10,I,557.67,i1901,545.0,i1905,491.5,-12.669999999999959,-66.16999999999996,-0.022719529470833888,-0.11865440134846772,20190102
11,EG,5800.0,eg1906,5084.0,eg1906,5084.0,-716.0,-716.0,-0.12344827586206897,-0.12344827586206897,20190102
12,PM,2540.0,PM901,2216.0,PM905,2286.0,-324.0,-254.0,-0.12755905511811028,-0.09999999999999998,20190102
13,CF,15237.0,CF901,14185.0,CF905,14900.0,-1052.0,-337.0,-0.06904246242698697,-0.022117214674804764,20190102
14,SR,5080.0,SR901,4732.0,SR905,4697.0,-348.0,-383.0,-0.06850393700787405,-0.0753937007874016,20190102
15,TA,6057.56,TA901,5854.0,TA905,5602.0,-203.5600000000004,-455.5600000000004,-0.03360428951591077,-0.07520519813258153,20190102
16,OI,6170.0,OI901,6331.0,OI905,6477.0,161.0,307.0,0.026094003241491137,0.0497568881685575,20190102
17,MA,2188.0,MA901,2301.0,MA905,2402.0,113.0,214.0,0.05164533820840944,0.09780621572212067,20190102
18,FG,1478.4,FG901,1324.0,FG905,1290.0,-154.4000000000001,-188.4000000000001,-0.10443722943722944,-0.12743506493506496,20190102
19,RS,5000.0,RS907,5271.0,RS909,5411.0,271.0,411.0,0.054200000000000026,0.08220000000000005,20190102
20,RM,2250.0,RM901,2047.0,RM905,2116.0,-203.0,-134.0,-0.0902222222222222,-0.059555555555555584,20190102
21,SF,5600.0,SF901,5742.0,SF905,5678.0,142.0,78.0,0.025357142857142856,0.013928571428571512,20190102
22,SM,7650.0,SM901,8022.0,SM905,7234.0,372.0,-416.0,0.04862745098039212,-0.054379084967320246,20190102
23,CY,24600.0,CY901,23600.0,CY905,23900.0,-1000.0,-700.0,-0.04065040650406504,-0.028455284552845517,20190102
24,CU,48030.0,cu1901,47870.0,cu1903,47860.0,-160.0,-170.0,-0.0033312513012699885,-0.0035394545075994044,20190102
25,AL,13300.0,al1902,13440.0,al1902,13440.0,140.0,140.0,0.010526315789473717,0.010526315789473717,20190102
26,ZN,22270.0,zn1901,21070.0,zn1902,20600.0,-1200.0,-1670.0,-0.05388414907947914,-0.07498877413560845,20190102
27,PB,18550.0,pb1901,18565.0,pb1902,18020.0,15.0,-530.0,0.0008086253369272711,-0.02857142857142858,20190102
28,NI,88750.0,ni1901,87420.0,ni1905,87170.0,-1330.0,-1580.0,-0.014985915492957691,-0.017802816901408502,20190102
29,SN,143500.0,sn1901,141910.0,sn1905,143540.0,-1590.0,40.0,-0.011080139372822262,0.00027874564459939855,20190102
30,AU,284.9,au1901,281.1,au1906,287.9,-3.7999999999999545,3.0,-0.01333801333801321,0.01053001053001057,20190102
31,AG,3628.67,ag1901,3649.0,ag1906,3703.0,20.329999999999927,74.32999999999993,0.005602603708796838,0.020484089211749712,20190102
32,RB,3764.17,rb1901,3832.0,rb1905,3389.0,67.82999999999993,-375.1700000000001,0.01801990877138926,-0.0996687184691446,20190102
33,WR,3858.57,wr1903,3677.0,wr1905,3513.0,-181.57000000000016,-345.57000000000016,-0.047056292875339856,-0.08955908536063883,20190102
34,HC,3686.0,hc1901,3652.0,hc1905,3306.0,-34.0,-380.0,-0.009224091155724312,-0.1030927835051546,20190102
35,FU,4675.0,fu1902,2218.0,fu1905,2384.0,-2457.0,-2291.0,-0.5255614973262033,-0.49005347593582893,20190102
36,BU,3400.67,bu1901,2692.0,bu1906,2598.0,-708.6700000000001,-802.6700000000001,-0.20839128759920844,-0.236032899399236,20190102
37,RU,10650.0,ru1901,10980.0,ru1905,11280.0,330.0,630.0,0.030985915492957705,0.05915492957746471,20190102
38,SP,5612.5,sp1906,5062.0,sp1906,5062.0,-550.5,-550.5,-0.09808463251670374,-0.09808463251670374,20190102
39,C,1850.0,c1901,1834.0,c1905,1866.0,-16.0,16.0,-0.008648648648648671,0.00864864864864856,20190103
40,CS,2590.0,cs1901,2359.0,cs1905,2332.0,-231.0,-258.0,-0.08918918918918917,-0.09961389961389966,20190103
41,A,3550.0,a1901,3236.0,a1905,3439.0,-314.0,-111.0,-0.08845070422535206,-0.03126760563380282,20190103
42,M,2875.0,m1901,2832.0,m1905,2654.0,-43.0,-221.0,-0.014956521739130424,-0.0768695652173913,20190103
43,Y,5160.0,y1901,4948.0,y1905,5490.0,-212.0,330.0,-0.041085271317829464,0.06395348837209291,20190103
44,P,4180.0,p1901,4146.0,p1905,4608.0,-34.0,428.0,-0.008133971291865993,0.10239234449760759,20190103
45,JD,4059.9999999999995,jd1901,4281.0,jd1905,3410.0,221.00000000000045,-649.9999999999995,0.05443349753694604,-0.16009852216748754,20190103
46,L,9250.0,l1901,9015.0,l1905,8495.0,-235.0,-755.0,-0.025405405405405368,-0.08162162162162168,20190103
47,V,6525.0,v1901,6655.0,v1905,6350.0,130.0,-175.0,0.01992337164750957,-0.026819923371647514,20190103
48,PP,9083.33,pp1901,9101.0,pp1905,8516.0,17.670000000000073,-567.3299999999999,0.0019453218147968965,-0.06245837154435652,20190103
49,I,560.44,i1901,541.0,i1905,494.5,-19.440000000000055,-65.94000000000005,-0.03468703161801456,-0.11765755477838846,20190103
50,EG,5800.0,eg1906,5111.0,eg1906,5111.0,-689.0,-689.0,-0.11879310344827587,-0.11879310344827587,20190103
51,PM,2540.0,PM901,2216.0,PM905,2286.0,-324.0,-254.0,-0.12755905511811028,-0.09999999999999998,20190103
52,CF,15237.0,CF901,14115.0,CF905,14810.0,-1122.0,-427.0,-0.07363654262650132,-0.028023889217037468,20190103
53,SR,5080.0,SR901,4757.0,SR905,4685.0,-323.0,-395.0,-0.06358267716535437,-0.077755905511811,20190103
54,TA,6110.89,TA901,5886.0,TA905,5636.0,-224.89000000000033,-474.8900000000003,-0.03680151336384718,-0.07771208449178435,20190103
55,OI,6175.0,OI901,6360.0,OI905,6510.0,185.0,335.0,0.02995951417004039,0.0542510121457489,20190103
56,MA,2194.0,MA901,2320.0,MA905,2424.0,126.0,230.0,0.05742935278031003,0.10483135824977219,20190103
57,FG,1478.4,FG901,1380.0,FG905,1295.0,-98.40000000000009,-183.4000000000001,-0.0665584415584416,-0.12405303030303039,20190103
58,RS,4986.67,RS907,5271.0,RS909,5411.0,284.3299999999999,424.3299999999999,0.05701801001469908,0.08509285755825036,20190103
59,RM,2255.0,RM901,2061.0,RM905,2131.0,-194.0,-124.0,-0.08603104212860313,-0.05498891352549884,20190103
60,SF,5600.0,SF901,5776.0,SF905,5742.0,176.0,142.0,0.03142857142857136,0.025357142857142856,20190103
61,SM,7650.0,SM901,8042.0,SM905,7264.0,392.0,-386.0,0.05124183006535943,-0.05045751633986928,20190103
62,CY,24600.0,CY901,22655.0,CY905,23835.0,-1945.0,-765.0,-0.07906504065040654,-0.031097560975609784,20190103
63,CU,47470.0,cu1901,47280.0,cu1903,47210.0,-190.0,-260.0,-0.004002527912365661,-0.005477143459026723,20190103
64,AL,13280.0,al1902,13350.0,al1903,13400.0,70.0,120.0,0.005271084337349352,0.009036144578313143,20190103
65,ZN,21950.0,zn1901,20840.0,zn1902,20370.0,-1110.0,-1580.0,-0.05056947608200457,-0.07198177676537587,20190103
66,PB,18450.0,pb1901,18420.0,pb1902,17820.0,-30.0,-630.0,-0.001626016260162566,-0.034146341463414664,20190103
67,NI,89000.0,ni1901,87910.0,ni1905,87610.0,-1090.0,-1390.0,-0.012247191011235947,-0.01561797752808991,20190103
68,SN,143500.0,sn1901,142100.0,sn1905,143790.0,-1400.0,290.0,-0.009756097560975618,0.002020905923344918,20190103
69,AU,287.1,au1901,286.25,au1906,289.1,-0.8500000000000227,2.0,-0.00296064089167547,0.006966213862765525,20190103
70,AG,3679.0,ag1901,3702.0,ag1906,3731.0,23.0,52.0,0.006251698831204022,0.014134275618374659,20190103
71,RB,3760.0,rb1901,3851.0,rb1905,3420.0,91.0,-340.0,0.024202127659574524,-0.09042553191489366,20190103
72,WR,3837.14,wr1903,3677.0,wr1905,3553.0,-160.13999999999987,-284.1399999999999,-0.041734208290549746,-0.0740499434474634,20190103
73,HC,3682.0,hc1901,3639.0,hc1905,3326.0,-43.0,-356.0,-0.011678435632808237,-0.09668658337859859,20190103
74,FU,4675.0,fu1902,2272.0,fu1905,2394.0,-2403.0,-2281.0,-0.5140106951871658,-0.4879144385026738,20190103
