,symbol,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_basis,dom_basis,near_basis_rate,dom_basis_rate,date
0,C,2544.29,c2101,2709.0,c2105,2761.0,164.71000000000004,216.71000000000004,0.06473711723113329,0.0851750390089181,20210104
1,CS,3140.0,cs2101,2995.0,cs2105,3113.0,-145.0,-27.0,-0.04617834394904463,-0.008598726114649735,20210104
2,A,5100.0,a2101,5748.0,a2105,5759.0,648.0,659.0,0.12705882352941167,0.12921568627450974,20210104
3,M,3537.5,m2101,3428.0,m2105,3497.0,-109.5,-40.5,-0.030954063604240245,-0.011448763250883398,20210104
4,Y,8766.67,y2101,8802.0,y2105,8006.0,35.32999999999993,-760.6700000000001,0.004030036490480393,-0.08676840807284869,20210104
5,P,7508.0,p2101,7442.0,p2105,7054.0,-66.0,-454.0,-0.008790623335109271,-0.06046883324453911,20210104
6,JD,4255.0,jd2101,4312.0,jd2105,4199.0,57.0,-56.0,0.013396004700352515,-0.013160987074030572,20210104
7,L,7883.33,l2101,7705.0,l2105,7690.0,-178.32999999999993,-193.32999999999993,-0.02262115121401742,-0.02452390043293884,20210104
8,V,7295.0,v2101,7100.0,v2105,7150.0,-195.0,-145.0,-0.02673063742289239,-0.019876627827278948,20210104
9,PP,8150.0,pp2101,8075.0,pp2105,8000.0,-75.0,-150.0,-0.009202453987730008,-0.018404907975460127,20210104
10,I,1099.89,i2101,1084.0,i2105,999.0,-15.8900000000001,-100.8900000000001,-0.014446899235378119,-0.09172735455363723,20210104
11,EG,4216.67,eg2101,4351.0,eg2105,4435.0,134.32999999999993,218.32999999999993,0.03185689181273377,0.051777824681561446,20210104
12,EB,6216.67,eb2101,6251.0,eb2102,6321.0,34.32999999999993,104.32999999999993,0.0055222490497324195,0.016782296631476346,20210104
13,PG,3766.67,pg2101,3847.0,pg2102,3882.0,80.32999999999993,115.32999999999993,0.02132652979953109,0.030618556974728373,20210104
