,symbol,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_basis,dom_basis,near_basis_rate,dom_basis_rate,date
42,BU,3227.2,bu2201,3190.0,bu2206,3316.0,-37.19999999999982,88.80000000000018,-0.01152702032721864,0.027516113039167234,20220104
43,RU,13600.0,ru2201,14455.0,ru2205,14735.0,855.0,1135.0,0.06286764705882364,0.08345588235294121,20220104
44,SP,5960.0,sp2201,6006.0,sp2205,6040.0,46.0,80.0,0.007718120805369155,0.01342281879194629,20220104
45,SS,17500.0,ss2201,17120.0,ss2202,17200.0,-380.0,-300.0,-0.021714285714285686,-0.017142857142857126,20220104
46,C,2671.43,c2201,2633.0,c2205,2704.0,-38.429999999999836,32.570000000000164,-0.014385553804516671,0.012191972089854453,20220105
47,CS,3300.0,cs2201,2988.0,cs2203,3011.0,-312.0,-289.0,-0.0945454545454546,-0.08757575757575753,20220105
48,A,6070.0,a2201,5932.0,a2203,5861.0,-138.0,-209.0,-0.022734761120263625,-0.03443163097199342,20220105
49,M,3592.0,m2201,3462.0,m2205,3274.0,-130.0,-318.0,-0.036191536748329645,-0.08853006681514475,20220105
50,Y,9738.0,y2201,9280.0,y2205,9040.0,-458.0,-698.0,-0.047032244814130264,-0.07167796262066128,20220105
51,P,9976.67,p2201,9876.0,p2205,8808.0,-100.67000000000007,-1168.67,-0.010090541232695927,-0.1171402882925866,20220105
52,JD,4590.0,jd2201,4075.0,jd2205,4142.0,-515.0,-448.0,-0.1122004357298475,-0.09760348583877998,20220105
53,L,8740.0,l2201,8707.0,l2205,8650.0,-33.0,-90.0,-0.0037757437070937705,-0.010297482837528626,20220105
54,V,8320.0,v2201,8416.0,v2205,8496.0,96.0,176.0,0.011538461538461497,0.02115384615384608,20220105
55,PP,8260.0,pp2201,8224.0,pp2205,8250.0,-36.0,-10.0,-0.004358353510895863,-0.001210653753026647,20220105
56,I,826.11,i2201,690.5,i2205,688.5,-135.61,-137.61,-0.16415489462662358,-0.16657587972546029,20220105
57,EG,5041.67,eg2201,5020.0,eg2205,5067.0,-21.670000000000073,25.329999999999927,-0.004298178976410605,0.005024128909666858,20220105
58,EB,8530.0,eb2201,8498.0,eb2202,8533.0,-32.0,3.0,-0.0037514654161782124,0.0003516998827666207,20220105
59,PG,5296.0,pg2201,4953.0,pg2202,4904.0,-343.0,-392.0,-0.06476586102719029,-0.07401812688821752,20220105
60,LH,16.03,lh2201,13920.0,lh2203,14255.0,13903.97,14238.97,867.3718028696194,888.2701185277604,20220105
61,WH,2834.0,WH201,2836.0,WH205,2951.0,2.0,117.0,0.0007057163020465218,0.041284403669724856,20220105
62,PM,2834.0,PM201,2422.0,PM201,2422.0,-412.0,-412.0,-0.14537755822159493,-0.14537755822159493,20220105
