,symbol,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_basis,dom_basis,near_basis_rate,dom_basis_rate,date
0,C,1834.29,c2001,1819.0,c2005,1915.0,-15.289999999999964,80.71000000000004,-0.00833565030611294,0.044000676010881534,20200102
1,CS,2433.33,cs2001,2128.0,cs2005,2284.0,-305.3299999999999,-149.32999999999993,-0.12547825407980007,-0.06136857721722899,20200102
2,A,3576.67,a2001,3326.0,a2005,3864.0,-250.67000000000007,287.3299999999999,-0.0700847436302483,0.08033450108620577,20200102
3,M,2900.0,m2001,2638.0,m2005,2774.0,-262.0,-126.0,-0.09034482758620688,-0.04344827586206901,20200102
4,Y,7003.33,y2001,6658.0,y2005,6768.0,-345.3299999999999,-235.32999999999993,-0.049309399956877664,-0.03360258619827994,20200102
5,P,6564.0,p2001,6482.0,p2005,6316.0,-82.0,-248.0,-0.012492382693479631,-0.03778184034125531,20200102
6,JD,3835.0,jd2001,3068.0,jd2005,3600.0,-767.0,-235.0,-0.19999999999999996,-0.06127770534550192,20200102
7,L,7350.0,l2001,7140.0,l2005,7315.0,-210.0,-35.0,-0.02857142857142858,-0.004761904761904745,20200102
8,V,6862.5,v2001,6615.0,v2005,6500.0,-247.5,-362.5,-0.0360655737704918,-0.05282331511839711,20200102
9,PP,7766.67,pp2001,7460.0,pp2005,7576.0,-306.6700000000001,-190.67000000000007,-0.0394853907788022,-0.024549774871341246,20200102
10,I,679.22,i2001,705.5,i2005,655.5,26.279999999999973,-23.720000000000027,0.038691440181384484,-0.034922411000853915,20200102
11,EG,5050.0,eg2001,4817.0,eg2005,4614.0,-233.0,-436.0,-0.04613861386138618,-0.0863366336633663,20200102
12,EB,7183.33,eb2004,7299.0,eb2005,7295.0,115.67000000000007,111.67000000000007,0.01610255967636176,0.01554571487040124,20200102
13,PM,2388.0,PM001,2320.0,PM007,2230.0,-68.0,-158.0,-0.028475711892797295,-0.06616415410385257,20200102
14,CF,13600.33,CF001,13555.0,CF005,14070.0,-45.32999999999993,469.6700000000001,-0.003333007360850848,0.03453372087294948,20200102
15,SR,5840.0,SR001,5594.0,SR005,5588.0,-246.0,-252.0,-0.042123287671232856,-0.043150684931506866,20200102
16,TA,4915.56,TA001,4886.0,TA005,4964.0,-29.5600000000004,48.4399999999996,-0.006013556949767795,0.009854421469781549,20200102
17,OI,8072.5,OI001,7692.0,OI005,7702.0,-380.5,-370.5,-0.04713533601734288,-0.04589656240322082,20200102
18,MA,2077.5,MA001,2094.0,MA005,2195.0,16.5,117.5,0.007942238267147905,0.05655836341756926,20200102
19,FG,1650.3999999999999,FG001,1506.0,FG005,1485.0,-144.39999999999986,-165.39999999999986,-0.08749394086282103,-0.10021812893843907,20200102
20,RS,5135.0,RS007,4438.0,RS007,4438.0,-697.0,-697.0,-0.1357351509250243,-0.1357351509250243,20200102
21,RM,2253.33,RM001,2144.0,RM005,2328.0,-109.32999999999993,74.67000000000007,-0.04851930254334691,0.033137622984649395,20200102
22,SF,6009.67,SF001,5886.0,SF005,5842.0,-123.67000000000007,-167.67000000000007,-0.02057850098258307,-0.027900034444486965,20200102
23,SM,6166.67,SM001,6404.0,SM005,6392.0,237.32999999999993,225.32999999999993,0.03848592514274318,0.03653998024865923,20200102
24,CY,21920.0,CY001,19640.0,CY005,22155.0,-2280.0,235.0,-0.10401459854014594,0.010720802919708117,20200102
25,UR,1686.67,UR001,1622.0,UR005,1723.0,-64.67000000000007,36.32999999999993,-0.0383418214588509,0.02153948312355114,20200102
26,CU,49140.0,cu2001,49130.0,cu2003,49390.0,-10.0,250.0,-0.00020350020350023978,0.005087505087504995,20200102
27,AL,14570.0,al2001,14400.0,al2002,14110.0,-170.0,-460.0,-0.011667810569663706,-0.03157172271791353,20200102
28,ZN,18610.0,zn2001,18025.0,zn2002,17930.0,-585.0,-680.0,-0.03143471252015051,-0.03653949489521757,20200102
29,PB,15100.0,pb2001,14955.0,pb2002,14990.0,-145.0,-110.0,-0.009602649006622554,-0.007284768211920478,20200102
30,NI,113350.0,ni2001,110500.0,ni2003,111060.0,-2850.0,-2290.0,-0.0251433612704014,-0.020202911336568152,20200102
31,SN,141000.0,sn2001,140280.0,sn2006,134480.0,-720.0,-6520.0,-0.005106382978723456,-0.04624113475177305,20200102
32,AU,342.0,au2001,346.22,au2006,346.14,4.220000000000027,4.139999999999986,0.012339181286549872,0.012105263157894619,20200102
33,AG,4296.0,ag2001,4310.0,ag2006,4379.0,14.0,83.0,0.0032588454376163423,0.019320297951582965,20200102
34,RB,3705.0,rb2001,3760.0,rb2005,3563.0,55.0,-142.0,0.014844804318488558,-0.0383265856950068,20200102
35,WR,3766.67,wr2001,4381.0,wr2010,3867.0,614.3299999999999,100.32999999999993,0.16309631584396822,0.02663625961392957,20200102
36,HC,3920.0,hc2001,3751.0,hc2005,3587.0,-169.0,-333.0,-0.04311224489795917,-0.08494897959183678,20200102
37,FU,4578.0,fu2002,2154.0,fu2005,2179.0,-2424.0,-2399.0,-0.5294888597640891,-0.5240279598077764,20200102
38,BU,3384.0,bu2001,3060.0,bu2006,3202.0,-324.0,-182.0,-0.0957446808510638,-0.053782505910165535,20200102
39,RU,12210.0,ru2001,12675.0,ru2005,12965.0,465.0,755.0,0.03808353808353804,0.06183456183456193,20200102
40,SP,4422.5,sp2001,4472.0,sp2005,4618.0,49.5,195.5,0.011192764273600941,0.04420576596947434,20200102
41,SS,14512.5,ss2002,14290.0,ss2006,14170.0,-222.5,-342.5,-0.01533161068044786,-0.023600344530577133,20200102
42,C,1834.29,c2001,1826.0,c2005,1920.0,-8.289999999999964,85.71000000000004,-0.00451945984549873,0.046726526339891716,20200103
43,CS,2433.33,cs2001,2137.0,cs2005,2293.0,-296.3299999999999,-140.32999999999993,-0.12177961887619027,-0.05766994201361919,20200103
44,A,3576.67,a2001,3379.0,a2005,3879.0,-197.67000000000007,302.3299999999999,-0.05526649089795821,0.0845283461991182,20200103
45,M,2900.0,m2001,2643.0,m2005,2774.0,-257.0,-126.0,-0.08862068965517245,-0.04344827586206901,20200103
46,Y,7093.33,y2001,6756.0,y2005,6852.0,-337.3299999999999,-241.32999999999993,-0.0475559434003493,-0.034022102453995506,20200103
47,P,6618.0,p2001,6444.0,p2005,6370.0,-174.0,-248.0,-0.026291931097008114,-0.03747355696585075,20200103
48,JD,3895.0,jd2001,3017.0,jd2005,3531.0,-878.0,-364.0,-0.22541720154043643,-0.09345314505776636,20200103
49,L,7350.0,l2001,7155.0,l2005,7315.0,-195.0,-35.0,-0.026530612244897944,-0.004761904761904745,20200103
50,V,6850.0,v2001,6630.0,v2005,6495.0,-220.0,-355.0,-0.03211678832116793,-0.05182481751824819,20200103
51,PP,7766.67,pp2001,7444.0,pp2005,7528.0,-322.6700000000001,-238.67000000000007,-0.04154547573155554,-0.03073002972960104,20200103
52,I,685.33,i2001,711.0,i2005,663.0,25.66999999999996,-22.33000000000004,0.03745640786190596,-0.032582843301767084,20200103
53,EG,5050.0,eg2001,4876.0,eg2005,4643.0,-174.0,-407.0,-0.034455445544554486,-0.08059405940594055,20200103
54,EB,7150.0,eb2004,7303.0,eb2005,7306.0,153.0,156.0,0.02139860139860139,0.021818181818181737,20200103
55,PM,2388.0,PM001,2320.0,PM007,2230.0,-68.0,-158.0,-0.028475711892797295,-0.06616415410385257,20200103
56,CF,13622.0,CF001,13550.0,CF005,14035.0,-72.0,413.0,-0.005285567464395791,0.03031860226104821,20200103
57,SR,5836.67,SR001,5577.0,SR005,5573.0,-259.6700000000001,-263.6700000000001,-0.04448940920079425,-0.045174731482163666,20200103
